Engine Fuel Type,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,MSRP
premium unleaded (required),6.0,MANUAL,2.0,Compact,46135
premium unleaded (required),6.0,MANUAL,2.0,Compact,40650
premium unleaded (required),6.0,MANUAL,2.0,Compact,36350
premium unleaded (required),6.0,MANUAL,2.0,Compact,29450
premium unleaded (required),6.0,MANUAL,2.0,Compact,34500
premium unleaded (required),6.0,MANUAL,2.0,Compact,31200
premium unleaded (required),6.0,MANUAL,2.0,Compact,44100
premium unleaded (required),6.0,MANUAL,2.0,Compact,39300
premium unleaded (required),6.0,MANUAL,2.0,Compact,36900
premium unleaded (required),6.0,MANUAL,2.0,Compact,37200
premium unleaded (required),6.0,MANUAL,2.0,Compact,39600
premium unleaded (required),6.0,MANUAL,2.0,Compact,31500
premium unleaded (required),6.0,MANUAL,2.0,Compact,44400
premium unleaded (required),6.0,MANUAL,2.0,Compact,37200
premium unleaded (required),6.0,MANUAL,2.0,Compact,31500
premium unleaded (required),6.0,MANUAL,2.0,Compact,48250
premium unleaded (required),6.0,MANUAL,2.0,Compact,43550
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,4.0,MANUAL,4.0,Compact,2000
regular unleaded,6.0,MANUAL,4.0,Compact,2000
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,32850
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,38650
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,48750
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,34850
premium unleaded (required),4.0,AUTOMATIC,2.0,Compact,40650
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,44150
premium unleaded (required),4.0,MANUAL,2.0,Compact,32850
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46150
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,50750
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2073
regular unleaded,4.0,MANUAL,2.0,Compact,3713
regular unleaded,4.0,MANUAL,2.0,Compact,3520
regular unleaded,4.0,MANUAL,2.0,Compact,3910
regular unleaded,4.0,MANUAL,2.0,Compact,4182
regular unleaded,4.0,MANUAL,2.0,Compact,4107
regular unleaded,4.0,MANUAL,2.0,Compact,4299
regular unleaded,4.0,MANUAL,2.0,Compact,4693
regular unleaded,4.0,MANUAL,2.0,Compact,4107
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Midsize,2000
regular unleaded,4.0,MANUAL,4.0,Compact,16020
regular unleaded,4.0,MANUAL,4.0,Compact,14530
regular unleaded,4.0,AUTOMATIC,4.0,Compact,16860
regular unleaded,4.0,AUTOMATIC,4.0,Compact,15370
regular unleaded,4.0,AUTOMATIC,4.0,Compact,17050
regular unleaded,4.0,AUTOMATIC,4.0,Compact,15560
regular unleaded,4.0,MANUAL,4.0,Compact,16210
regular unleaded,4.0,MANUAL,4.0,Compact,14720
regular unleaded,4.0,AUTOMATIC,4.0,Compact,17050
regular unleaded,4.0,AUTOMATIC,4.0,Compact,15560
regular unleaded,4.0,MANUAL,4.0,Compact,16210
regular unleaded,4.0,MANUAL,4.0,Compact,14720
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,47250
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41850
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41850
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,43000
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,49200
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,49650
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,43950
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,41950
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,50150
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,37500
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,43750
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39500
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,39500
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,34950
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,45750
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,37500
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,32950
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,47800
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,38350
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,40350
premium unleaded (required),4.0,MANUAL,4.0,Midsize,38350
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,42650
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,33150
premium unleaded (required),4.0,AUTOMATIC,4.0,Midsize,35150
premium unleaded (required),6.0,AUTOMATIC,4.0,Midsize,45800
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2105
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2199
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,MANUAL,2.0,Compact,3552
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2179
regular unleaded,6.0,MANUAL,2.0,Compact,3814
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2207
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2248
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2065
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2282
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2000
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2544
regular unleaded,6.0,AUTOMATIC,2.0,Midsize,2397
regular unleaded,6.0,MANUAL,2.0,Compact,4174
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2187
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2433
regular unleaded,6.0,AUTOMATIC,4.0,Midsize,2247
regular unleaded,6.0,MANUAL,2.0,Compact,3941
regular unleaded,6.0,MANUAL,2.0,Compact,3295
regular unleaded,6.0,MANUAL,2.0,Compact,6008
regular unleaded,6.0,MANUAL,2.0,Compact,6710
regular unleaded,6.0,MANUAL,2.0,Compact,3701
regular unleaded,6.0,MANUAL,2.0,Compact,4671
regular unleaded,6.0,MANUAL,2.0,Compact,5306
regular unleaded,6.0,MANUAL,2.0,Compact,7600
regular unleaded,6.0,MANUAL,2.0,Compact,4090
regular unleaded,6.0,MANUAL,2.0,Compact,2847
regular unleaded,6.0,MANUAL,2.0,Compact,2488
regular unleaded,6.0,MANUAL,2.0,Compact,2683
regular unleaded,6.0,MANUAL,2.0,Compact,2553
regular unleaded,6.0,MANUAL,2.0,Compact,3049
regular unleaded,6.0,MANUAL,2.0,Compact,2774
regular unleaded,6.0,MANUAL,2.0,Compact,2702
regular unleaded,6.0,MANUAL,2.0,Compact,3101
regular unleaded,6.0,MANUAL,2.0,Compact,3510
regular unleaded,6.0,MANUAL,2.0,Compact,3107
regular unleaded,6.0,MANUAL,2.0,Compact,3624
regular unleaded,6.0,MANUAL,2.0,Compact,3185
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,4.0,MANUAL,2.0,Compact,2000
regular unleaded,6.0,AUTOMATIC,2.0,Compact,36550
regular unleaded,6.0,AUTOMATIC,2.0,Compact,41250
regular unleaded,6.0,AUTOMATIC,2.0,Compact,30600
regular unleaded,6.0,AUTOMATIC,2.0,Compact,37100
regular unleaded,6.0,MANUAL,2.0,Compact,27900
regular unleaded,6.0,MANUAL,2.0,Compact,32700
regular unleaded,6.0,MANUAL,2.0,Compact,40250
regular unleaded,6.0,MANUAL,2.0,Compact,35550
regular unleaded,6.0,MANUAL,2.0,Compact,36100
regular unleaded,6.0,AUTOMATIC,2.0,Compact,33200
regular unleaded,6.0,MANUAL,2.0,Compact,37900
regular unleaded,6.0,MANUAL,2.0,Compact,29600
regular unleaded,6.0,MANUAL,2.0,Compact,38070
regular unleaded,6.0,AUTOMATIC,2.0,Compact,38900
regular unleaded,6.0,AUTOMATIC,2.0,Compact,33840
regular unleaded,6.0,MANUAL,2.0,Compact,38630
regular unleaded,6.0,AUTOMATIC,2.0,Compact,39630
regular unleaded,6.0,AUTOMATIC,2.0,Compact,37740
regular unleaded,6.0,AUTOMATIC,2.0,Compact,41980
regular unleaded,6.0,MANUAL,2.0,Compact,36280
regular unleaded,6.0,MANUAL,2.0,Compact,36740
regular unleaded,6.0,MANUAL,2.0,Compact,40980
regular unleaded,6.0,MANUAL,2.0,Compact,38680
regular unleaded,6.0,MANUAL,2.0,Compact,28510
regular unleaded,6.0,MANUAL,2.0,Compact,30210
regular unleaded,6.0,AUTOMATIC,2.0,Compact,31210
regular unleaded,6.0,MANUAL,2.0,Compact,33340
regular unleaded,6.0,AUTOMATIC,2.0,Compact,37280
regular unleaded,6.0,MANUAL,2.0,Compact,41570
regular unleaded,6.0,MANUAL,2.0,Compact,36870
regular unleaded,6.0,AUTOMATIC,2.0,Compact,42570
regular unleaded,6.0,AUTOMATIC,2.0,Compact,37870
regular unleaded,6.0,MANUAL,2.0,Compact,39220
regular unleaded,6.0,AUTOMATIC,2.0,Compact,40220
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46790
premium unleaded (required),6.0,MANUAL,2.0,Compact,48100
premium unleaded (required),6.0,MANUAL,2.0,Compact,29990
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,41820
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,31290
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,34870
premium unleaded (required),6.0,MANUAL,2.0,Compact,33570
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46570
premium unleaded (required),6.0,MANUAL,2.0,Compact,37970
premium unleaded (required),6.0,MANUAL,2.0,Compact,37070
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,49400
premium unleaded (required),6.0,MANUAL,2.0,Compact,45270
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,39270
premium unleaded (required),6.0,MANUAL,2.0,Compact,45490
premium unleaded (required),6.0,MANUAL,2.0,Compact,41990
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,38370
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,43290
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,41820
premium unleaded (required),6.0,MANUAL,2.0,Compact,48100
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,43290
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,39270
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,34870
premium unleaded (required),6.0,MANUAL,2.0,Compact,41990
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,38370
premium unleaded (required),6.0,MANUAL,2.0,Compact,45270
premium unleaded (required),6.0,MANUAL,2.0,Compact,45490
premium unleaded (required),6.0,MANUAL,2.0,Compact,29990
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46570
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46790
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,49400
premium unleaded (required),6.0,MANUAL,2.0,Compact,37070
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,31290
premium unleaded (required),6.0,MANUAL,2.0,Compact,37970
premium unleaded (required),6.0,MANUAL,2.0,Compact,33570
premium unleaded (required),6.0,MANUAL,2.0,Compact,37970
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,38370
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,34870
premium unleaded (required),6.0,MANUAL,2.0,Compact,29990
premium unleaded (required),6.0,MANUAL,2.0,Compact,45490
premium unleaded (required),6.0,MANUAL,2.0,Compact,41990
premium unleaded (required),6.0,MANUAL,2.0,Compact,45270
premium unleaded (required),6.0,MANUAL,2.0,Compact,33570
premium unleaded (required),6.0,MANUAL,2.0,Compact,48100
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,39270
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46570
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,49400
premium unleaded (required),6.0,MANUAL,2.0,Compact,37070
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,41820
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,46790
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,43290
premium unleaded (required),6.0,AUTOMATIC,2.0,Compact,31290
regular unleaded,4.0,MANUAL,4.0,Compact,25045
regular unleaded,4.0,AUTOMATIC,4.0,Compact,26095
regular unleaded,4.0,MANUAL,4.0,Compact,23845
regular unleaded,4.0,AUTOMATIC,4.0,Compact,25395
